epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,44469.6,1.35252,0.93623,1.04027,0.76326,0.65452,0.70625,0.45378,1.2895,0.82402,1.05008,0.005842,0.005842,0.005842
44,45402.2,1.34743,0.93312,1.04038,0.76246,0.65597,0.70675,0.4536,1.28881,0.82289,1.04959,0.005743,0.005743,0.005743
45,46335.5,1.35262,0.93526,1.04399,0.76224,0.65561,0.70727,0.45417,1.28838,0.82226,1.04917,0.005644,0.005644,0.005644
46,47274.5,1.34523,0.92789,1.04113,0.76737,0.65408,0.70789,0.45538,1.28797,0.82174,1.04888,0.005545,0.005545,0.005545
47,48237.3,1.34746,0.92624,1.03974,0.77074,0.65452,0.70818,0.45574,1.28728,0.82061,1.04851,0.005446,0.005446,0.005446
48,49175.3,1.34571,0.92851,1.03937,0.76768,0.65733,0.70885,0.45594,1.28655,0.81957,1.04813,0.005347,0.005347,0.005347
49,50111.4,1.34337,0.92718,1.03955,0.7655,0.65757,0.70896,0.45697,1.28587,0.81867,1.04764,0.005248,0.005248,0.005248
50,51047.3,1.342,0.92102,1.0374,0.76709,0.65681,0.70956,0.45693,1.28506,0.81776,1.04721,0.005149,0.005149,0.005149
51,51983.1,1.34062,0.92107,1.03569,0.77018,0.65516,0.7098,0.45755,1.28492,0.8165,1.04698,0.00505,0.00505,0.00505
52,52918.6,1.33556,0.91719,1.03549,0.76757,0.6562,0.71012,0.45765,1.28367,0.81548,1.04633,0.004951,0.004951,0.004951
53,54047.6,1.3349,0.91606,1.03463,0.7673,0.65606,0.7104,0.45807,1.28318,0.81491,1.04593,0.004852,0.004852,0.004852
54,54981,1.33229,0.9135,1.03471,0.76321,0.65725,0.71061,0.4585,1.28256,0.81378,1.04563,0.004753,0.004753,0.004753
55,55916.4,1.33122,0.91012,1.03281,0.76364,0.65726,0.71115,0.45877,1.28217,0.813,1.0454,0.004654,0.004654,0.004654
56,56853.5,1.33722,0.91178,1.03366,0.76936,0.65386,0.7103,0.45862,1.28177,0.81171,1.04515,0.004555,0.004555,0.004555
57,57789.5,1.3314,0.90862,1.03254,0.76328,0.65563,0.71062,0.45843,1.2807,0.81125,1.04454,0.004456,0.004456,0.004456
58,58724.4,1.33033,0.90556,1.03007,0.76387,0.65457,0.71085,0.45832,1.28019,0.81078,1.04412,0.004357,0.004357,0.004357
59,59657.6,1.32696,0.90423,1.0297,0.76219,0.65604,0.71101,0.45874,1.2795,0.80959,1.04364,0.004258,0.004258,0.004258
60,60594.7,1.32424,0.89768,1.02773,0.76247,0.65791,0.71185,0.46008,1.27866,0.80917,1.04294,0.004159,0.004159,0.004159
